iteration = 1 , objective = 3957.671002821932, inputs = [0.845], constraints = [-1474.6392086725295]
iteration = 2 , objective = 4045.833715379396, inputs = [0.8449999999999999], constraints = [-1507.8371253514213]
iteration = 1 , objective = 3957.671002821932, inputs = [0.845], constraints = [-1474.6392086725295]
iteration = 2 , objective = 4045.833715379396, inputs = [0.8449999999999999], constraints = [-1507.8371253514213]
iteration = 1 , objective = 3957.671002821932, inputs = [0.845], constraints = [-1474.6392086725295]
iteration = 2 , objective = 4045.833715379396, inputs = [0.8449999999999999], constraints = [-1507.8371253514213]
iteration = 1 , objective = 3957.671002821932, inputs = [0.845], constraints = [-1474.6392086725295]
iteration = 2 , objective = 4045.833715379396, inputs = [0.8449999999999999], constraints = [-1507.8371253514213]
iteration = 1 , objective = 3086.1190204295344, inputs = [0.845], constraints = [-728.6098588608253]
iteration = 2 , objective = 3122.884616447561, inputs = [0.8449999999999999], constraints = [-737.3291714880289]
iteration = 1 , objective = 3086.1190204295344, inputs = [0.845], constraints = [-728.6098588608253]
iteration = 2 , objective = 3122.884616447561, inputs = [0.8449999999999999], constraints = [-737.3291714880289]
iteration = 1 , objective = 3086.1190204295344, inputs = [0.845], constraints = [-728.6098588608253]
iteration = 2 , objective = 3122.884616447561, inputs = [0.8449999999999999], constraints = [-737.3291714880289]
iteration = 1 , objective = 3086.1190204295344, inputs = [0.845], constraints = [-728.6098588608253]
iteration = 2 , objective = 3122.884616447561, inputs = [0.8449999999999999], constraints = [-737.3291714880289]
iteration = 1 , objective = 3086.1190204295344, inputs = [0.845], constraints = [-728.6098588608253]
iteration = 2 , objective = 3122.884616447561, inputs = [0.8449999999999999], constraints = [-737.3291714880289]
iteration = 1 , objective = 3086.1190204295344, inputs = [0.845], constraints = [-728.6098588608253]
iteration = 2 , objective = 3122.884616447561, inputs = [0.8449999999999999], constraints = [-737.3291714880289]
iteration = 1 , objective = 3086.1190204295344, inputs = [0.845], constraints = [-728.6098588608253]
iteration = 2 , objective = 3122.884616447561, inputs = [0.8449999999999999], constraints = [-737.3291714880289]
iteration = 1 , objective = 3086.1190204295344, inputs = [0.845], constraints = [-728.6098588608253]
iteration = 2 , objective = 3122.884616447561, inputs = [0.8449999999999999], constraints = [-737.3291714880289]
iteration = 1 , objective = 3086.1190204295344, inputs = [0.845], constraints = [-728.6098588608253]
iteration = 2 , objective = 3122.884616447561, inputs = [0.8449999999999999], constraints = [-737.3291714880289]
iteration = 1 , objective = 3086.1190204295344, inputs = [0.845], constraints = [-728.6098588608253]
iteration = 2 , objective = 3122.884616447561, inputs = [0.8449999999999999], constraints = [-737.3291714880289]
iteration = 1 , objective = 27.908780880614497, inputs = [0.845], constraints = [-4.167755553442594]
iteration = 2 , objective = 27.908780839992872, inputs = [0.8449999999999999], constraints = [-4.167755544315062]
iteration = 1 , objective = 27.908780880614497, inputs = [0.845], constraints = [-4.167755553442594]
iteration = 2 , objective = 27.908780839992872, inputs = [0.8449999999999999], constraints = [-4.167755544315062]
iteration = 1 , objective = 27.908780880614497, inputs = [0.845], constraints = [-4.167755553442594]
iteration = 2 , objective = 27.908780839992872, inputs = [0.8449999999999999], constraints = [-4.167755544315062]
iteration = 1 , objective = 27.908780880614497, inputs = [0.845], constraints = [-4.167755553442594]
iteration = 2 , objective = 27.908780839992872, inputs = [0.8449999999999999], constraints = [-4.167755544315062]
iteration = 1 , objective = 27.908780880614497, inputs = [0.845], constraints = [-4.167755553442594]
iteration = 2 , objective = 27.908780839992872, inputs = [0.8449999999999999], constraints = [-4.167755544315062]
iteration = 1 , objective = 27.908780880614497, inputs = [0.845], constraints = [-41677.55553442594]
iteration = 2 , objective = 27.908780839992872, inputs = [0.8449999999999999], constraints = [-41677.55544315062]
iteration = 1 , objective = 27.908780880614497, inputs = [0.845], constraints = [-0.4167755553442594]
iteration = 2 , objective = 27.908780839992872, inputs = [0.8449999999999999], constraints = [-0.4167755544315062]
iteration = 1 , objective = 27.908780880614497, inputs = [0.845], constraints = [-0.004167755553442594]
iteration = 2 , objective = 27.908780839992872, inputs = [0.8449999999999999], constraints = [-0.004167755544315062]
iteration = 1 , objective = 27.908780880614497, inputs = [0.845], constraints = [-0.004167755553442594]
iteration = 2 , objective = 27.908780839992872, inputs = [0.8449999999999999], constraints = [-0.004167755544315062]
